powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
FITR,1070000.0,32000.0,6.0,100,MX,2035,CopiedFromTemplate_XY
FITR,965000.0,28000.0,6.0,100,MX,2040,CopiedFromTemplate_XY
FITR,965000.0,28000.0,6.0,100,MX,2045,CopiedFromTemplate_XY
FITR,965000.0,28000.0,6.0,100,MX,2050,CopiedFromTemplate_XY
GEOT,4589440.882,119088.2372,0.0,40,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
GEOT,4589440.882,115709.2167,0.0,40,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
GEOT,4589440.882,112330.1962,0.0,40,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
GEOT,4000000.0,90000.0,0.0,40,MX,2040,CopiedFromTemplate_XY
GEOT,3930000.0,90000.0,0.0,40,MX,2045,CopiedFromTemplate_XY
GEOT,3830000.0,90000.0,0.0,40,MX,2050,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2025,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2030,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2035,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2040,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2045,CopiedFromTemplate_XY
HDAM,2100000.0,40000.0,0.0,50,MX,2050,CopiedFromTemplate_XY
HHBS,465000.0,0.0,0.0,20,MX,2025,CopiedFromTemplate_XY
HHBS,270000.0,0.0,0.0,20,MX,2030,CopiedFromTemplate_XY
HHBS,270000.0,0.0,0.0,20,MX,2035,CopiedFromTemplate_XY
HHBS,270000.0,0.0,0.0,20,MX,2040,CopiedFromTemplate_XY
HHBS,270000.0,0.0,0.0,20,MX,2045,CopiedFromTemplate_XY
HHBS,200000.0,0.0,0.0,20,MX,2050,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2025,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2030,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2035,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2040,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2045,CopiedFromTemplate_XY
HPHS,890000.0,9000.0,2.0,50,MX,2050,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2025,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2030,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2035,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2040,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2045,CopiedFromTemplate_XY
HROR,2120000.0,40000.0,0.0,50,MX,2050,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2025,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2030,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2035,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2045,CopiedFromTemplate_XY
IND_BOILER,220000.0,50000.0,6.0,25,MX,2050,CopiedFromTemplate_XY
INLHSTOR,400000.0,600.0,0.0,30,MX,2025,CopiedFromTemplate_XY
INLHSTOR,340000.0,500.0,0.0,30,MX,2030,CopiedFromTemplate_XY
INLHSTOR,280000.0,400.0,0.0,30,MX,2035,CopiedFromTemplate_XY
INLHSTOR,230000.0,300.0,0.0,30,MX,2040,CopiedFromTemplate_XY
INLHSTOR,230000.0,300.0,0.0,30,MX,2045,CopiedFromTemplate_XY
INLHSTOR,230000.0,300.0,0.0,30,MX,2050,CopiedFromTemplate_XY
METH,870000.0,30000.0,0.0,30,MX,2025,CopiedFromTemplate_XY
METH,670980.0,23000.0,0.0,30,MX,2030,CopiedFromTemplate_XY
METH,572930.0,20000.0,0.0,30,MX,2035,CopiedFromTemplate_XY
METH,474880.0,16000.0,0.0,30,MX,2040,CopiedFromTemplate_XY
METH,376830.0,13000.0,0.0,30,MX,2045,CopiedFromTemplate_XY
METH,278780.0,9000.0,0.0,30,MX,2050,CopiedFromTemplate_XY
NUCL,6798000.0,130000.0,8.0,25,MX,2025,CopiedFromTemplate_XY
NUCL,6798000.0,130000.0,8.0,25,MX,2030,CopiedFromTemplate_XY
NUCL,6798000.0,125000.0,8.5,25,MX,2035,CopiedFromTemplate_XY
NUCL,6798000.0,120000.0,8.5,25,MX,2040,CopiedFromTemplate_XY
NUCL,6798000.0,120000.0,9.0,25,MX,2045,CopiedFromTemplate_XY
NUCL,6798000.0,115000.0,9.0,25,MX,2050,CopiedFromTemplate_XY
